Stock,Direction,Bull %,Bear %
"NSE:GODREJIND,",BULLISH BIAS,80,20
"NSE:GOLDIETF,",BULLISH BIAS,80,20
"NSE:ICICIB22,",BULLISH BIAS,80,20
"NSE:JAMNAAUTO,",BULLISH BIAS,80,20
"NSE:JINDALPOLY,",BULLISH BIAS,80,20
"NSE:KEI,",BULLISH BIAS,80,20
"NSE:EIFFL,",BULLISH BIAS,80,20
"NSE:EBBETF0433,",BULLISH BIAS,80,20
"NSE:KPRMILL,",BULLISH BIAS,80,20
"NSE:DLINKINDIA,",BULLISH BIAS,80,20
"NSE:CREDITACC,",BULLISH BIAS,80,20
"NSE:CENTURYPLY,",BULLISH BIAS,80,20
"NSE:CARRARO,",BULLISH BIAS,80,20
"NSE:LINDEINDIA,",BULLISH BIAS,80,20
"NSE:BBNPPGOLD,",BULLISH BIAS,80,20
"NSE:BANARISUG,",BULLISH BIAS,80,20
"NSE:BAJFINANCE,",BULLISH BIAS,80,20
"NSE:LLOYDSENT,",BULLISH BIAS,80,20
"NSE:NIITLTD,",BULLISH BIAS,80,20
"NSE:NLCINDIA,",BULLISH BIAS,80,20
"NSE:NTPC,",BULLISH BIAS,80,20
"NSE:AEGISVOPAK,",BULLISH BIAS,80,20
"NSE:AEGISLOG,",BULLISH BIAS,80,20
"NSE:LIQUID,",BULLISH BIAS,75,25
"NSE:LIQUIDBEES,",BULLISH BIAS,70,30
"NSE:MOM30IETF,",BULLISH BIAS,70,30
"NSE:IDFCFIRSTB,",BULLISH BIAS,70,30
"NSE:AAVAS,",BULLISH BIAS,70,30
"NSE:BIRLAMONEY,",BULLISH BIAS,70,30
"NSE:DOMS,",BULLISH BIAS,70,30
"NSE:APLAPOLLO,",BULLISH BIAS,70,30
"NSE:ASTRAL,",BULLISH BIAS,70,30
"NSE:ONMOBILE,",BULLISH BIAS,70,30
"NSE:GANESHCP,",BULLISH BIAS,65,35
"NSE:MARKOLINES,",BULLISH BIAS,65,35
"NSE:AGARWALEYE,",BULLISH BIAS,65,35
"NSE:ALKEM,",BULLISH BIAS,65,35
"NSE:ALPL30IETF,",BULLISH BIAS,65,35
"NSE:NESTLEIND,",BULLISH BIAS,65,35
"NSE:MUKANDLTD,",BULLISH BIAS,65,35
"NSE:MEDPLUS,",BULLISH BIAS,65,35
"NSE:GODAVARIB,",BULLISH BIAS,65,35
"NSE:ENRIN,",BULLISH BIAS,65,35
"NSE:JSWHL,",BULLISH BIAS,65,35
"NSE:EXICOM,",BULLISH BIAS,60,40
"NSE:BANKNIFTY1,",BULLISH BIAS,60,40
"NSE:AUROPHARMA,",BULLISH BIAS,55,45
"NSE:HFCL,",BULLISH BIAS,55,45
"NSE:HUDCO,",BULLISH BIAS,55,45
"NSE:LGHL,",BULLISH BIAS,55,45
"NSE:GHCLTEXTIL,",BULLISH BIAS,55,45
"NSE:JINDALSTEL,",BULLISH BIAS,55,45
"NSE:GOLDBND,",BULLISH BIAS,55,45
"NSE:AAREYDRUGS,",BEARISH BIAS,20,80
"NSE:KABRAEXTRU,",BEARISH BIAS,20,80
"NSE:GANECOS,",BEARISH BIAS,20,80
"NSE:GLOBUSSPR,",BEARISH BIAS,20,80
"NSE:HDFCBANK,",BEARISH BIAS,20,80
"NSE:HINDOILEXP,",BEARISH BIAS,20,80
"NSE:ABSLBANETF,",BEARISH BIAS,20,80
"NSE:ICICIGI,",BEARISH BIAS,20,80
"NSE:ICICIPRULI,",BEARISH BIAS,20,80
"NSE:ICRA,",BEARISH BIAS,20,80
"NSE:JAINREC,",BEARISH BIAS,20,80
"NSE:JBCHEPHARM,",BEARISH BIAS,20,80
"NSE:JGCHEM,",BEARISH BIAS,20,80
"NSE:KAMDHENU,",BEARISH BIAS,20,80
"NSE:EMAMILTD,",BEARISH BIAS,20,80
"NSE:KAMOPAINTS,",BEARISH BIAS,20,80
"NSE:KSL,",BEARISH BIAS,20,80
"NSE:LMW,",BEARISH BIAS,20,80
"NSE:LTF,",BEARISH BIAS,20,80
"NSE:MAKEINDIA,",BEARISH BIAS,20,80
"NSE:MICEL,",BEARISH BIAS,20,80
"NSE:MIDCAPIETF,",BEARISH BIAS,20,80
"NSE:NARMADA,",BEARISH BIAS,20,80
"NSE:NEXT50,",BEARISH BIAS,20,80
"NSE:NIFTY1,",BEARISH BIAS,20,80
"NSE:NITINSPIN,",BEARISH BIAS,20,80
"NSE:ENTERO,",BEARISH BIAS,20,80
